city,SUM of estimated_annual_revenue,AVERAGE of occupancy_rate,COUNTA of id,,,COUNTA of id,SUM of estimated_annual_revenue,AVERAGE of price,AVERAGE of occupancy_rate,AVERAGE of revenue_per_available_day,Professional hosts,,,,,,,host_id,host_name,SUM of estimated_annual_revenue,COUNTA of id,AVERAGE of occupancy_rate,,,,
,,,,,,,5500958,Entire Home/Apt,Budget,92.30%,"$50,550.00",2.98,,,,,,44169567,Ragini,"$62,050.00",1,100.00%,,,,
,,,,,,,39251726,Entire Home/Apt,Budget,75.60%,"$50,508.00",1.17,,,,,,43483337,Alex,"$62,050.00",1,100.00%,,,,
,,,,,,,28698677,Entire Home/Apt,Budget,71.00%,"$50,505.00",-1.20,,,,,,43103263,April,"$62,050.00",1,100.00%,,,,
,,,,,,,27396632,Entire Home/Apt,Budget,86.30%,"$50,400.00",-1.12,,,,,,11259636,Malcolm,"$62,050.00",1,100.00%,,,,
,,,,,,,32339048,Entire Home/Apt,Budget,100.00%,"$50,370.00",-1.32,,,,,,9328891,Fabrizio,"$62,050.00",1,100.00%,,,,
,,,,,,,34907800,Entire Home/Apt,Budget,73.70%,"$50,303.00",2.55,,,,,,5762302,Helen,"$62,050.00",1,100.00%,,,,
,,,,,,,31879887,Entire Home/Apt,Average,73.70%,"$50,303.00",0.10,,,,,,1793569,Frances,"$62,050.00",1,100.00%,,,,
,,,,,,,38549870,Entire Home/Apt,Average,64.40%,"$50,290.00",2.46,,,,,,71423,Anthony,"$62,034.00",1,80.50%,,,,
,,,,,,,5307906,Entire Home/Apt,Premium,34.50%,"$50,274.00",-0.43,,,,,,264478123,The Broome Hotel,"$61,992.00",1,46.00%,,,,
,,,,,,,24382300,Entire Home/Apt,Premium,18.40%,"$50,250.00",-0.31,,,,,,10162964,Shelley,"$61,950.00",1,97.00%,,,,
,,,,,,,39507327,Entire Home/Apt,Average,59.70%,"$50,140.00",1.17,,,,,,165390,Seattlestays - Seth Gordon,"$61,875.00",1,45.20%,,,,
,,,,,,,32593748,Entire Home/Apt,Budget,91.50%,"$50,100.00",-1.25,,,,,,19001857,Lisa,"$61,845.00",1,42.50%,,,,
,,,,,,,23015989,Entire Home/Apt,Budget,92.10%,"$50,064.00",-1.29,,,,,,214633892,Josh + Jess,"$61,750.00",1,52.10%,,,,
,,,,,,,21500652,Entire Home/Apt,Average,48.80%,"$50,018.00",-0.84,,,,,,16644446,Corporate,"$61,712.00",1,72.90%,,,,
,,,,,,,27132960,Private Room,Budget,100.00%,"$50,005.00",-1.34,,,,,,76826485,Tiffany,"$61,685.00",1,100.00%,,,,
,,,,,,,24540959,Entire Home/Apt,Premium,54.80%,"$50,000.00",4.73,,,,,,28688970,Kristina,"$61,685.00",1,100.00%,,,,
,,,,,,,43085909,Entire Home/Apt,Budget,91.20%,"$49,950.00",-1.01,,,,,,17199564,Mark,"$61,685.00",1,100.00%,,,,
,,,,,,,41051370,Entire Home/Apt,Budget,91.20%,"$49,950.00",-0.94,,,,,,11339946,Garron,"$61,685.00",1,100.00%,,,,
,,,,,,,30697702,Entire Home/Apt,Budget,93.70%,"$49,932.00",-0.38,,,,,,1530776,Lara,"$61,685.00",1,100.00%,,,,
,,,,,,,30963419,Entire Home/Apt,Average,51.20%,"$49,929.00",-1.10,,,,,,7728783,Cynthia,"$61,600.00",1,60.30%,,,,
,,,,,,,35642196,Private Room,Average,98.40%,"$49,901.00",-0.61,,,,,,1711798,Ali,"$61,560.00",1,93.70%,,,,
,,,,,,,17991266,Entire Home/Apt,Average,53.20%,"$49,858.00",1.66,,,,,,8229,Terry,"$61,516.00",1,99.70%,,,,
,,,,,,,22275911,Entire Home/Apt,Budget,98.10%,"$49,762.00",-1.29,,,,,,184853043,Shannon,"$61,500.00",1,67.40%,,,,
,,,,,,,30853932,Entire Home/Apt,Premium,52.60%,"$49,728.00",-0.06,,,,,,276275985,Travis,"$61,491.00",2,35.50%,,,,
,,,,,,,10813593,Entire Home/Apt,Premium,60.50%,"$49,725.00",0.59,,,,,,47996971,Mike,"$61,320.00",1,100.00%,,,,
,,,,,,,35473324,Entire Home/Apt,Budget,98.60%,"$49,680.00",-1.25,,,,,,12272762,Caridad,"$61,236.00",1,51.80%,,,,
,,,,,,,26877146,Entire Home/Apt,Average,75.60%,"$49,680.00",-1.27,,,,,,41568068,Mary,"$61,200.00",1,83.80%,,,,
,,,,,,,21546462,Entire Home/Apt,Budget,75.60%,"$49,680.00",-1.22,,,,,,262327542,Adrien,"$61,072.00",1,95.10%,,,,
,,,,,,,20625896,Entire Home/Apt,Average,75.60%,"$49,680.00",0.01,,,,,,8329708,Sam,"$61,008.00",1,67.40%,,,,
,,,,,,,25208495,Entire Home/Apt,Budget,100.00%,"$49,640.00",-1.13,,,,,,242583702,Nick,"$61,000.00",1,83.60%,,,,
,,,,,,,20636022,Entire Home/Apt,Average,77.30%,"$49,632.00",-0.96,,,,,,7025232,Sebastian,"$60,996.00",1,75.60%,,,,
,,,,,,,27959920,Entire Home/Apt,Average,52.90%,"$49,601.00",1.79,,,,,,193530257,Kevin,"$60,984.00",1,84.40%,,,,
,,,,,,,34871854,Entire Home/Apt,Average,75.30%,"$49,500.00",-0.50,,,,,,21921780,Christina,"$60,900.00",1,95.30%,,,,
,,,,,,,31796095,Entire Home/Apt,Budget,90.40%,"$49,500.00",-0.67,,,,,,1290259,Rani And Maribel,"$60,896.00",1,96.40%,,,,
,,,,,,,31143931,Entire Home/Apt,Average,75.30%,"$49,500.00",-0.94,,,,,,138787052,Zach,"$60,882.00",1,76.20%,,,,
,,,,,,,9015143,Entire Home/Apt,Average,43.00%,"$49,455.00",-0.38,,,,,,3668535,S,"$60,865.00",1,50.70%,,,,
,,,,,,,33551810,Entire Home/Apt,Average,77.30%,"$49,350.00",-1.27,,,,,,7160641,Eric,"$60,840.00",1,92.60%,,,,
,,,,,,,24308589,Entire Home/Apt,Premium,51.00%,"$49,290.00",-0.61,,,,,,7978870,Andy Aaron,"$60,750.00",1,74.00%,,,,
,,,,,,,41661557,Entire Home/Apt,Budget,100.00%,"$49,275.00",-1.09,,,,,,39921605,Rachel,"$60,732.00",1,69.00%,,,,
,,,,,,,39509523,Entire Home/Apt,Average,100.00%,"$49,275.00",-0.35,,,,,,86757575,Michael,"$60,660.00",1,92.30%,,,,
,,,,,,,37253934,Entire Home/Apt,Average,100.00%,"$49,275.00",-1.14,,,,,,8140066,Susan,"$60,525.00",1,73.70%,,,,
,,,,,,,36704733,Entire Home/Apt,Average,100.00%,"$49,275.00",1.90,,,,,,114151984,Colleen,"$60,500.00",1,66.30%,,,,
,,,,,,,32846930,Entire Home/Apt,Budget,100.00%,"$49,275.00",-1.29,,,,,,19474702,Caitlin,"$60,450.00",1,51.00%,,,,
,,,,,,,31259186,Private Room,Average,100.00%,"$49,275.00",-1.34,,,,,,74718941,Randy,"$60,435.00",1,69.90%,,,,
,,,,,,,30466053,Entire Home/Apt,Average,100.00%,"$49,275.00",-1.34,,,,,,8762245,Camiel,"$60,280.00",1,75.10%,,,,
,,,,,,,29705115,Entire Home/Apt,Average,100.00%,"$49,275.00",-1.04,,,,,,150044472,Amar,"$60,225.00",1,100.00%,,,,
,,,,,,,27360579,Entire Home/Apt,Budget,100.00%,"$49,275.00",1.38,,,,,,129333453,Larry,"$60,225.00",1,100.00%,,,,
,,,,,,,6505132,Entire Home/Apt,Budget,100.00%,"$49,275.00",0.90,,,,,,123317556,James,"$60,225.00",1,100.00%,,,,
,,,,,,,4989295,Entire Home/Apt,Average,100.00%,"$49,275.00",-1.06,,,,,,95015886,Gali,"$60,225.00",1,100.00%,,,,
,,,,,,,3860464,Entire Home/Apt,Average,100.00%,"$49,275.00",-1.20,,,,,,78705600,Blake Layton,"$60,225.00",1,100.00%,,,,
,,,,,,,237705,Entire Home/Apt,Budget,100.00%,"$49,275.00",-0.30,,,,,,55148803,Bianca And Jordan,"$60,225.00",1,100.00%,,,,
,,,,,,,35118207,Entire Home/Apt,Average,71.00%,"$49,210.00",-0.15,,,,,,13093738,Alex,"$60,225.00",1,100.00%,,,,
,,,,,,,24206009,Entire Home/Apt,Budget,99.50%,"$49,005.00",0.40,,,,,,3434070,Margaret,"$60,225.00",1,100.00%,,,,
,,,,,,,38799034,Entire Home/Apt,Budget,78.90%,"$48,960.00",0.53,,,,,,2557452,Tony,"$60,225.00",1,100.00%,,,,
,,,,,,,32983934,Entire Home/Apt,Average,52.60%,"$48,960.00",0.66,,,,,,2899101,Christina,"$59,978.00",2,44.90%,,,,
,,,,,,,19142185,Entire Home/Apt,Premium,40.30%,"$48,951.00",1.68,,,,,,213027719,Dan And Dan,"$59,950.00",1,59.70%,,,,
,,,,,,,41773547,Entire Home/Apt,Budget,68.80%,"$48,945.00",-0.81,,,,,,48361590,Clement,"$59,891.00",1,60.50%,,,,
,,,,,,,1745658,Entire Home/Apt,Premium,51.50%,"$48,880.00",-0.87,,,,,,45891071,Brad,"$59,840.00",1,51.20%,,,,
,,,,,,,16229584,Entire Home/Apt,Average,70.40%,"$48,830.00",1.27,,,,,,15702910,Andy,"$59,800.00",1,81.90%,,,,
,,,,,,,43326242,Private Room,Average,53.70%,"$48,804.00",-0.73,,,,,,40240788,Vacasa Hawaii,"$59,764.00",2,50.25%,,,,
,,,,,,,10262958,Entire Home/Apt,Premium,16.70%,"$48,800.00",0.83,,,,,,38273172,Marie,"$59,760.00",1,91.00%,,,,
,,,,,,,10927074,Entire Home/Apt,Average,75.10%,"$48,772.00",2.94,,,,,,237406328,Daniel,"$59,750.00",1,65.50%,,,,
,,,,,,,24746107,Entire Home/Apt,Average,53.40%,"$48,750.00",1.16,,,,,,308746736,Haiyan,"$59,724.00",1,86.60%,,,,
,,,,,,,889489,Entire Home/Apt,Premium,10.70%,"$48,750.00",0.49,,,,,,232339962,Maria Miguel,"$59,696.00",1,99.70%,,,,
,,,,,,,40592999,Entire Home/Apt,Average,95.90%,"$48,650.00",-0.71,,,,,,227835746,Roger,"$59,675.00",1,59.50%,,,,
,,,,,,,24648173,Entire Home/Apt,Budget,76.20%,"$48,650.00",3.85,,,,,,323319442,Shoreline,"$59,668.00",2,72.85%,,,,
,,,,,,,36174506,Entire Home/Apt,Average,74.00%,"$48,600.00",1.22,,,,,,24157036,Angela,"$59,332.00",1,99.70%,,,,
,,,,,,,39507917,Entire Home/Apt,Average,100.00%,"$48,545.00",-0.38,,,,,,1657814,Joanna,"$59,272.00",1,67.90%,,,,
,,,,,,,24712037,Private Room,Average,100.00%,"$48,545.00",-0.87,,,,,,85360355,Staylocal,"$59,257.00",3,33.33%,,,,
,,,,,,,20322035,Entire Home/Apt,Budget,100.00%,"$48,545.00",-0.60,,,,,,53624888,Jacqueline,"$59,006.00",1,99.20%,,,,
,,,,,,,41704472,Entire Home/Apt,Budget,63.30%,"$48,510.00",-0.25,,,,,,334163301,Soya,"$58,996.00",5,91.32%,,,,
,,,,,,,408595,Entire Home/Apt,Budget,53.20%,"$48,500.00",-0.82,,,,,,23128169,Jeanne,"$58,904.00",1,81.10%,,,,
,,,,,,,19213501,Entire Home/Apt,Average,83.60%,"$48,495.00",2.77,,,,,,25519858,Janet Scott,"$58,779.00",1,85.20%,,,,
,,,,,,,30963309,Entire Home/Apt,Average,40.80%,"$48,425.00",-0.96,,,,,,27268443,Lisel,"$58,765.00",1,100.00%,,,,
,,,,,,,37632854,Entire Home/Apt,Average,77.50%,"$48,393.00",2.27,,,,,,12603183,Paulina,"$58,765.00",1,100.00%,,,,
,,,,,,,310367,Entire Home/Apt,Average,75.60%,"$48,300.00",-0.30,,,,,,10931840,Roman,"$58,743.00",1,87.90%,,,,
,,,,,,,13247942,Entire Home/Apt,Average,63.60%,"$48,256.00",4.00,,,,,,122382567,Evolve Vacation Rental,"$58,740.00",1,97.50%,,,,
,,,,,,,27557022,Entire Home/Apt,Budget,77.30%,"$48,222.00",1.92,,,,,,342147925,Phil,"$58,705.00",1,80.80%,,,,
,,,,,,,30341297,Entire Home/Apt,Average,100.00%,"$48,180.00",2.27,,,,,,268313075,Mathieu,"$58,705.00",1,16.20%,,,,
,,,,,,,28284019,Entire Home/Apt,Average,100.00%,"$48,180.00",-1.19,,,,,,8184593,Marc,"$58,496.00",2,22.90%,,,,
,,,,,,,4931807,Entire Home/Apt,Average,100.00%,"$48,180.00",-1.21,,,,,,243540233,Simona,"$58,400.00",1,100.00%,,,,
,,,,,,,16766257,Entire Home/Apt,Budget,79.50%,"$48,140.00",0.72,,,,,,87516029,Barney,"$58,400.00",1,100.00%,,,,
,,,,,,,12290886,Entire Home/Apt,Average,66.60%,"$48,114.00",-0.42,,,,,,41743945,George - Francis,"$58,400.00",1,100.00%,,,,
,,,,,,,5357679,Entire Home/Apt,Average,50.70%,"$48,100.00",0.30,,,,,,24371522,Carlos,"$58,400.00",1,100.00%,,,,
,,,,,,,2866544,Entire Home/Apt,Premium,20.30%,"$48,100.00",-0.45,,,,,,17525654,Susan Aarti,"$58,400.00",1,100.00%,,,,
,,,,,,,40090036,Private Room,Average,96.20%,"$48,087.00",-1.22,,,,,,15010925,Carlos,"$58,400.00",1,100.00%,,,,
,,,,,,,24248660,Entire Home/Apt,Average,77.00%,"$48,051.00",0.17,,,,,,14035480,Joseph,"$58,400.00",1,100.00%,,,,
,,,,,,,13016382,Entire Home/Apt,Average,67.40%,"$47,970.00",-1.12,,,,,,8727955,Elizabeth,"$58,400.00",1,100.00%,,,,
,,,,,,,8445240,Entire Home/Apt,Budget,100.00%,"$47,815.00",-0.93,,,,,,7512826,Elise,"$58,400.00",1,100.00%,,,,
,,,,,,,3217063,Entire Home/Apt,Budget,100.00%,"$47,815.00",-0.57,,,,,,5047712,Jamie,"$58,400.00",1,100.00%,,,,
,,,,,,,4513084,Entire Home/Apt,Average,97.00%,"$47,790.00",-1.36,,,,,,303906907,Irina,"$58,325.00",2,53.40%,,,,
,,,,,,,14178226,Entire Home/Apt,Premium,54.50%,"$47,760.00",0.33,,,,,,5691285,Bill,"$58,233.00",1,90.10%,,,,
,,,,,,,32503628,Entire Home/Apt,Budget,79.20%,"$47,685.00",1.98,,,,,,20277948,Ella,"$58,140.00",1,62.50%,,,,
,,,,,,,23700643,Entire Home/Apt,Budget,79.20%,"$47,685.00",-1.14,,,,,,282200991,Don,"$58,125.00",1,20.50%,,,,
,,,,,,,8070181,Entire Home/Apt,Premium,66.60%,"$47,628.00",1.15,,,,,,9737900,Nilu,"$58,100.00",1,95.90%,,,,
,,,,,,,42250772,Entire Home/Apt,Average,72.90%,"$47,614.00",-1.21,,,,,,293481930,Graduate Seattle,"$58,035.00",1,100.00%,,,,
,,,,,,,26671099,Entire Home/Apt,Premium,30.70%,"$47,600.00",1.09,,,,,,195093138,Javad,"$58,035.00",1,100.00%,,,,
,,,,,,,35091524,Entire Home/Apt,Average,68.20%,"$47,559.00",1.01,,,,,,49998346,Scott,"$58,035.00",1,100.00%,,,,
,,,,,,,15208205,Entire Home/Apt,Budget,93.70%,"$47,538.00",2.21,,,,,,43126742,Ken Erica,"$58,035.00",1,100.00%,,,,
,,,,,,,3049213,Entire Home/Apt,Budget,92.90%,"$47,460.00",-0.95,,,,,,31365126,Melissa,"$58,035.00",1,100.00%,,,,
,,,,,,,40226006,Entire Home/Apt,Budget,100.00%,"$47,450.00",0.92,,,,,,31142123,Hans,"$58,035.00",1,100.00%,,,,
,,,,,,,37600864,Private Room,Budget,100.00%,"$47,450.00",-0.29,,,,,,10738787,Mike,"$58,035.00",1,100.00%,,,,
,,,,,,,28780407,Entire Home/Apt,Budget,100.00%,"$47,450.00",-1.19,,,,,,61627153,Alex,"$58,000.00",1,79.50%,,,,
,,,,,,,28631939,Private Room,Average,100.00%,"$47,450.00",-0.98,,,,,,179394932,Turnkey Vacation Rentals,"$57,909.00",3,8.87%,,,,
,,,,,,,25380160,Entire Home/Apt,Budget,100.00%,"$47,450.00",-0.44,,,,,,6097842,Brittain,"$57,820.00",1,53.70%,,,,
,,,,,,,25083769,Entire Home/Apt,Budget,100.00%,"$47,450.00",-1.31,,,,,,1411399,Carlos,"$57,820.00",1,64.70%,,,,
,,,,,,,22209638,Entire Home/Apt,Budget,100.00%,"$47,450.00",-0.60,,,,,,17633,Charlotte ( Anna-Regina),"$57,785.00",3,40.37%,,,,
,,,,,,,21366927,Entire Home/Apt,Budget,100.00%,"$47,450.00",1.47,,,,,,350432543,Bevlux,"$57,750.00",1,75.30%,,,,
,,,,,,,20174551,Entire Home/Apt,Budget,100.00%,"$47,450.00",-1.24,,,,,,3010467,Maxim,"$57,750.00",1,95.90%,,,,
,,,,,,,19137910,Entire Home/Apt,Budget,100.00%,"$47,450.00",3.46,,,,,,8165999,Helen,"$57,670.00",1,100.00%,,,,
,,,,,,,17137401,Private Room,Budget,100.00%,"$47,450.00",-1.37,,,,,,8094939,Alex,"$57,670.00",1,100.00%,,,,
,,,,,,,15802190,Entire Home/Apt,Budget,100.00%,"$47,450.00",-0.37,,,,,,26482762,Resortshare1,"$57,659.00",3,15.87%,,,,
,,,,,,,13936478,Entire Home/Apt,Budget,100.00%,"$47,450.00",-0.22,,,,,,56219240,Stephanie,"$57,618.00",1,79.70%,,,,
,,,,,,,13843270,Entire Home/Apt,Budget,100.00%,"$47,450.00",-1.26,,,,,,51425128,Mark,"$57,600.00",1,39.50%,,,,
,,,,,,,13828639,Entire Home/Apt,Budget,100.00%,"$47,450.00",-1.12,,,,,,30806712,Tristan,"$57,600.00",1,78.90%,,,,
,,,,,,,11546336,Entire Home/Apt,Budget,100.00%,"$47,450.00",-1.21,,,,,,52042236,Destination Maui,"$57,575.00",3,30.50%,,,,
,,,,,,,10367884,Entire Home/Apt,Budget,100.00%,"$47,450.00",-0.97,,,,,,8336938,Vacation Rentals By Aaron,"$57,552.00",2,42.75%,,,,
,,,,,,,9759444,Entire Home/Apt,Budget,100.00%,"$47,450.00",-1.24,,,,,,107944293,Jen,"$57,455.00",2,58.90%,,,,
,,,,,,,9575903,Entire Home/Apt,Budget,100.00%,"$47,450.00",-1.13,,,,,,20587257,Chris,"$57,368.00",1,77.80%,,,,
,,,,,,,8000640,Entire Home/Apt,Budget,100.00%,"$47,450.00",-1.16,,,,,,119855172,Brett,"$57,348.00",1,97.00%,,,,
,,,,,,,7499793,Private Room,Budget,100.00%,"$47,450.00",-1.25,,,,,,40166351,Yan,"$57,312.00",1,54.50%,,,,
,,,,,,,7205212,Entire Home/Apt,Budget,100.00%,"$47,450.00",-0.93,,,,,,213606969,Devon,"$57,305.00",1,100.00%,,,,
,,,,,,,6686140,Entire Home/Apt,Budget,100.00%,"$47,450.00",-1.07,,,,,,135248158,Chuy,"$57,305.00",1,100.00%,,,,
,,,,,,,4624592,Entire Home/Apt,Budget,100.00%,"$47,450.00",-1.23,,,,,,115154494,Joseph,"$57,305.00",1,100.00%,,,,
,,,,,,,2420488,Entire Home/Apt,Budget,100.00%,"$47,450.00",-1.28,,,,,,49213283,Paul,"$57,305.00",1,100.00%,,,,
,,,,,,,2217263,Entire Home/Apt,Budget,100.00%,"$47,450.00",-1.28,,,,,,98301475,Andrea,"$57,300.00",1,52.30%,,,,
,,,,,,,5796556,Entire Home/Apt,Budget,86.60%,"$47,400.00",-0.17,,,,,,306300745,Ian,"$57,213.00",1,96.20%,,,,
,,,,,,,23199965,Entire Home/Apt,Premium,48.20%,"$47,344.00",-1.08,,,,,,21725994,Tim,"$57,190.00",1,82.50%,,,,
,,,,,,,35343181,Entire Home/Apt,Average,88.20%,"$47,334.00",7.25,,,,,,3191545,Mike,"$57,178.00",2,44.25%,,,,
,,,,,,,13001874,Entire Home/Apt,Premium,40.00%,"$47,304.00",0.68,,,,,,183845824,Gyeong,"$57,165.00",1,50.70%,,,,
,,,,,,,34812586,Entire Home/Apt,Average,80.80%,"$47,200.00",-1.18,,,,,,302982894,Silver Lake,"$57,135.00",1,80.30%,,,,
,,,,,,,13531483,Entire Home/Apt,Premium,32.30%,"$47,200.00",0.76,,,,,,245580537,Tori,"$57,132.00",1,75.60%,,,,
,,,,,,,9427168,Entire Home/Apt,Budget,99.50%,"$47,190.00",-0.95,,,,,,306039447,Royal Kona Resort,"$57,113.00",1,78.60%,,,,
,,,,,,,15819372,Entire Home/Apt,Budget,84.40%,"$47,124.00",1.88,,,,,,133778912,Yaniv,"$57,085.00",1,67.10%,,,,
,,,,,,,41247884,Private Room,Budget,100.00%,"$47,085.00",-0.04,,,,,,47854311,Anna,"$57,035.00",1,83.60%,,,,
,,,,,,,31177786,Private Room,Average,100.00%,"$47,085.00",-1.35,,,,,,247529763,Yanqin,"$57,000.00",1,52.10%,,,,
,,,,,,,29636573,Entire Home/Apt,Budget,100.00%,"$47,085.00",-1.13,,,,,,131678172,Burt,"$57,000.00",1,26.00%,,,,
,,,,,,,24562184,Entire Home/Apt,Budget,100.00%,"$47,085.00",2.88,,,,,,106275215,Thad,"$57,000.00",1,16.40%,,,,
,,,,,,,21638538,Private Room,Budget,100.00%,"$47,085.00",0.19,,,,,,9058296,Michael,"$56,990.00",1,76.20%,,,,
,,,,,,,17626973,Private Room,Budget,100.00%,"$47,085.00",-0.11,,,,,,245014020,Grace,"$56,940.00",1,100.00%,,,,
,,,,,,,16896246,Entire Home/Apt,Budget,100.00%,"$47,085.00",-1.25,,,,,,33419187,Stacy,"$56,940.00",1,100.00%,,,,
,,,,,,,13467270,Entire Home/Apt,Budget,100.00%,"$47,085.00",-0.90,,,,,,3153014,Lisa Myshall,"$56,940.00",2,40.00%,,,,
,,,,,,,9824807,Entire Home/Apt,Budget,100.00%,"$47,085.00",-0.92,,,,,,67994775,Music City Magnolia,"$56,782.00",1,87.40%,,,,
,,,,,,,12384152,Entire Home/Apt,Premium,32.30%,"$47,082.00",-0.46,,,,,,4981655,Jim,"$56,724.00",2,90.80%,,,,
,,,,,,,41067388,Entire Home/Apt,Premium,12.90%,"$47,000.00",0.81,,,,,,124060715,Evolve Vacation Rental,"$56,658.00",1,72.90%,,,,
,,,,,,,17037,Entire Home/Apt,Premium,51.50%,"$47,000.00",-0.11,,,,,,242780957,Dvora Guesthouse,"$56,580.00",1,75.60%,,,,
,,,,,,,44000443,Entire Home/Apt,Budget,99.70%,"$46,956.00",-0.36,,,,,,117141107,Zarinah,"$56,575.00",2,100.00%,,,,
,,,,,,,25920781,Entire Home/Apt,Average,83.30%,"$46,816.00",0.76,,,,,,107064718,Alexander,"$56,575.00",1,100.00%,,,,
,,,,,,,30462500,Entire Home/Apt,Premium,32.10%,"$46,800.00",1.69,,,,,,60246968,Sophia,"$56,575.00",1,100.00%,,,,
,,,,,,,21058853,Entire Home/Apt,Average,85.50%,"$46,800.00",0.68,,,,,,18776880,Caroline,"$56,575.00",1,100.00%,,,,
,,,,,,,3544341,Entire Home/Apt,Premium,19.70%,"$46,800.00",0.41,,,,,,5920620,Yael And Andrew,"$56,575.00",1,100.00%,,,,
,,,,,,,36621761,Private Room,Premium,51.20%,"$46,750.00",-0.99,,,,,,121534901,Andrew,"$56,530.00",2,75.90%,,,,
,,,,,,,42143796,Entire Home/Apt,Average,100.00%,"$46,720.00",-1.09,,,,,,150751554,Carlos,"$56,481.00",1,55.10%,,,,
,,,,,,,32138363,Entire Home/Apt,Budget,100.00%,"$46,720.00",2.31,,,,,,345156756,Linda,"$56,400.00",1,77.30%,,,,
,,,,,,,27126083,Entire Home/Apt,Average,100.00%,"$46,720.00",1.21,,,,,,98661304,Not Specified,"$56,400.00",1,77.30%,,,,
,,,,,,,31511125,Entire Home/Apt,Budget,92.10%,"$46,704.00",2.07,,,,,,1412059,Eyal,"$56,340.00",1,85.80%,,,,
,,,,,,,41344986,Entire Home/Apt,Budget,99.20%,"$46,698.00",0.10,,,,,,186335360,Dave,"$56,330.00",3,23.93%,,,,
,,,,,,,29438609,Entire Home/Apt,Budget,99.20%,"$46,698.00",-1.12,,,,,,197569748,Christopher,"$56,280.00",1,76.70%,,,,
,,,,,,,28888492,Entire Home/Apt,Budget,85.20%,"$46,650.00",-0.50,,,,,,57831596,Charles,"$56,212.00",1,51.50%,,,,
,,,,,,,21217197,Entire Home/Apt,Budget,75.60%,"$46,644.00",-1.20,,,,,,157302460,Sep,"$56,210.00",1,100.00%,,,,
,,,,,,,9269126,Private Room,Average,75.60%,"$46,644.00",-1.02,,,,,,53257945,Seline,"$56,210.00",1,100.00%,,,,
,,,,,,,777297,Entire Home/Apt,Premium,56.70%,"$46,575.00",0.53,,,,,,208565,Maria,"$56,210.00",1,100.00%,,,,
,,,,,,,33615693,Entire Home/Apt,Average,51.20%,"$46,563.00",-0.02,,,,,,137589311,Ninelife,"$56,190.00",2,92.45%,,,,
,,,,,,,32236235,Hotel Room,Average,97.30%,"$46,505.00",-1.21,,,,,,37360129,Travis,"$56,166.00",1,69.30%,,,,
,,,,,,,28475740,Entire Home/Apt,Budget,51.00%,"$46,500.00",0.26,,,,,,2069432,Michelle,"$56,100.00",1,51.20%,,,,
,,,,,,,23786052,Entire Home/Apt,Budget,84.90%,"$46,500.00",-1.04,,,,,,332948031,William,"$56,070.00",1,73.20%,,,,
,,,,,,,780224,Entire Home/Apt,Budget,89.00%,"$46,475.00",2.21,,,,,,45388637,Lainey,"$55,932.00",1,97.00%,,,,
,,,,,,,17328657,Entire Home/Apt,Premium,29.30%,"$46,438.00",-0.82,,,,,,9545279,Mitchell,"$55,845.00",1,100.00%,,,,
,,,,,,,42542307,Entire Home/Apt,Budget,97.80%,"$46,410.00",-0.82,,,,,,161880165,Steve,"$55,832.00",2,42.20%,,,,
,,,,,,,6043671,Entire Home/Apt,Average,75.60%,"$46,368.00",-1.03,,,,,,299354211,Ricky,"$55,800.00",1,51.00%,,,,
,,,,,,,44428964,Entire Home/Apt,Average,83.00%,"$46,359.00",-0.74,,,,,,4001689,John,"$55,720.00",1,76.70%,,,,
,,,,,,,26474750,Entire Home/Apt,Budget,100.00%,"$46,355.00",-1.00,,,,,,2370669,Locale,"$55,677.00",1,75.90%,,,,
,,,,,,,7135112,Entire Home/Apt,Budget,100.00%,"$46,355.00",-1.25,,,,,,103752978,Amy,"$55,614.00",1,51.00%,,,,
,,,,,,,43486897,Entire Home/Apt,Average,56.40%,"$46,350.00",4.48,,,,,,42730304,Matthew,"$55,583.00",1,93.40%,,,,
,,,,,,,29793507,Entire Home/Apt,Premium,27.10%,"$46,332.00",1.21,,,,,,6165522,Jordan,"$55,560.00",2,53.70%,,,,
,,,,,,,43451416,Private Room,Budget,97.50%,"$46,280.00",-0.39,,,,,,221635816,Topu,"$55,500.00",1,82.20%,,,,
,,,,,,,41004140,Entire Home/Apt,Average,28.20%,"$46,247.00",-0.57,,,,,,5826497,Yvan,"$55,500.00",1,60.80%,,,,
,,,,,,,41593808,Entire Home/Apt,Average,58.60%,"$46,224.00",-0.29,,,,,,4698713,Mark Y Toi,"$55,500.00",1,82.20%,,,,
,,,,,,,11462918,Entire Home/Apt,Budget,84.40%,"$46,200.00",1.96,,,,,,119204214,Ben,"$55,480.00",1,100.00%,,,,
,,,,,,,43290706,Entire Home/Apt,Premium,57.00%,"$46,176.00",-0.78,,,,,,23165254,Luxsle/Com,"$55,457.00",3,14.00%,,,,
,,,,,,,37811048,Entire Home/Apt,Average,77.50%,"$46,129.00",1.82,,,,,,103881233,Jonathan,"$55,400.00",1,75.90%,,,,
,,,,,,,21143161,Private Room,Budget,100.00%,"$45,990.00",-0.45,,,,,,62849576,Dave,"$55,400.00",2,21.65%,,,,
,,,,,,,7297027,Entire Home/Apt,Premium,34.50%,"$45,990.00",1.24,,,,,,218952334,Stay,"$55,322.00",1,76.20%,,,,
,,,,,,,42365832,Entire Home/Apt,Premium,51.80%,"$45,927.00",-0.46,,,,,,71683763,Sergey,"$55,322.00",1,76.20%,,,,
